canonical_index,cell_id,batch,class_id
677,dabbnofn-1,s01A,6
680,dabjmaek-1,s01A,5
690,daccidop-1,s01A,1
711,iojhaiah-1,s01A,6
720,dacloaak-1,s01A,1
728,dadbhgfi-1,s01A,6
737,cpplkecj-1,s01A,6
756,cppmhema-1,s01A,4
766,iojcjkil-1,s01A,1
771,jakcpaak-1,s01A,5
787,jakelgpc-1,s01A,5
793,jakfgpkf-1,s01A,2
796,jakheepb-1,s01A,0
797,jakhkoij-1,s01A,0
803,jamodekc-1,s01A,4
809,bjlogjao-1,s01A,6
830,bjlogckg-1,s01A,6
865,jajolffm-1,s01A,0
881,jakbhgeo-1,s01A,5
892,jajcnbcc-1,s01A,1
906,jajhhpja-1,s01A,1
910,jajjkjnj-1,s01A,4
915,oeeiajoc-1,s01A,3
916,oeeibclj-1,s01A,5
920,jajddefp-1,s01A,1
924,jajebihb-1,s01A,2
930,jajhoece-1,s01A,0
948,jcifkjac-1,s01A,0
954,bkppljjf-1,s01A,5
962,jcfmphip-1,s01A,5
976,jciiabfl-1,s01A,5
985,jcingemg-1,s01A,1
992,blaakphh-1,s01A,5
993,blaalene-1,s01A,5
1003,blddkhko-1,s01A,5
1026,jchdpbeb-1,s01A,4
1099,jchbclpo-1,s01A,5
1109,jchdlegg-1,s01A,5
1111,jcidknak-1,s01A,5
1113,blbibeah-1,s01A,1
1143,jcgoikcf-1,s01A,5
1154,commdnha-1,s01A,6
1158,inpnfkld-1,s01A,1
1159,inpnmpep-1,s01A,1
1164,inpogkaf-1,s01A,5
1165,inpoiahg-1,s01A,1
1167,inppnbci-1,s01A,4
1176,comjomfn-1,s01A,4
1185,ioaadbjb-1,s01A,2
1198,inpghpfa-1,s01A,2
1201,inphaefn-1,s01A,1
1212,inpmcndm-1,s01A,2
1215,inpplkfn-1,s01A,0
1239,iokcffkf-1,s01A,2
1251,iojolanj-1,s01A,2
1356,iokfpgoe-1,s01A,5
1358,iokhfoed-1,s01A,4
1362,iokhlked-1,s01A,1
1369,iomdmgla-1,s01A,0
1387,iomdodmm-1,s01A,1
1404,jaklilfo-1,s01A,1
1425,cpppooej-1,s01A,5
1434,ioklcfjf-1,s01A,2
1440,jakglemf-1,s01A,5
1449,jakmjgli-1,s01A,5
1453,jakoclie-1,s01A,1
1465,bjljkkfk-1,s01A,6
1466,bjlkejla-1,s01A,4
1477,jahoieei-1,s01A,2
1500,ioloioog-1,s01A,5
1524,jakcfhfd-1,s01A,0
1526,jakclchk-1,s01A,0
1528,jaknjcfm-1,s01A,5
1535,bjmekhhe-1,s01A,5
1536,bjmeoiie-1,s01A,0
1554,jajbncfl-1,s01A,6
1568,bjngnaop-1,s01A,5
1590,bjngfpbh-1,s01A,6
1592,bjnggooo-1,s01A,5
1612,jajhmmea-1,s01A,0
1628,jaimgfdm-1,s01A,6
1629,jaimgkeg-1,s01A,2
1635,jchfnnel-1,s01A,0
1643,blacjafa-1,s01A,6
1647,jchfboam-1,s01A,4
1653,jchkfnlk-1,s01A,1
1661,jcigcddl-1,s01A,4
1665,blabcgda-1,s01A,5
1666,blabfhel-1,s01A,5
1669,blconjfo-1,s01A,2
1683,jchifdih-1,s01A,0
1685,jchifnkg-1,s01A,1
1688,jchjfgee-1,s01A,1
1693,jchjmbda-1,s01A,0
1703,blcijofo-1,s01A,2
1720,bldaecig-1,s01A,5
1728,jcgpeopa-1,s01A,2
1740,jchnioae-1,s01A,2
1744,jciciopm-1,s01A,1
1745,jcickjah-1,s01A,1
1758,blcgjglf-1,s01A,5
1762,blcgogko-1,s01A,5
1764,blcgooja-1,s01A,2
1785,jcfnmkcm-1,s01A,2
1790,jcfpdcpo-1,s01A,5
1798,jcgaaggf-1,s01A,2
1799,jcgacomb-1,s01A,1
1808,jcgkbpdf-1,s01A,1
1819,jciboiba-1,s01A,5
1848,dbgodepj-1,s01A,6
1856,iplmebmo-1,s01A,1
1893,ipmchima-1,s01A,0
1894,ipmckhkp-1,s01A,6
1910,iplnblkh-1,s01A,2
1914,ipmckebh-1,s01A,6
1922,iolheoej-1,s01A,0
1939,jagfcpbl-1,s01A,2
1941,jagfepmm-1,s01A,6
1957,jagggnmc-1,s01A,6
1958,cppeelof-1,s01A,6
1960,cpphchim-1,s01A,6
1980,iomcpeoa-1,s01A,4
1988,ipmmhkkh-1,s01A,5
2002,ipmooccn-1,s01A,0
2019,bkpkgdbg-1,s01A,2
2022,iomdjdpk-1,s01A,1
2034,ipmljolj-1,s01A,5
2054,iolpbfmk-1,s01A,1
2065,ipnbelmi-1,s01A,0
2080,ipnkpfno-1,s01A,2
2091,dbofcmgg-1,s01A,5
2093,dbogbiam-1,s01A,1
2095,ddmamagd-1,s01A,6
2111,ipndfpgn-1,s01A,5
2112,ipndgohi-1,s01A,3
2123,ipnilbed-1,s01A,2
2133,jalbpglp-1,s01A,5
2134,oeefaped-1,s01A,3
2148,bjnamogm-1,s01A,5
2162,ddmlkojj-1,s01A,5
2165,idgghalc-1,s01A,2
2173,idhdipcj-1,s01A,4
2179,idhgandh-1,s01A,1
2183,idhhkmed-1,s01A,5
2190,iolljnim-1,s01A,5
2191,iolmgnon-1,s01A,2
2194,iolnhmce-1,s01A,1
2204,ipncpbhi-1,s01A,5
2228,ddmlopbd-1,s01A,5
2235,idfoahmk-1,s01A,5
2263,idhhjobg-1,s01A,1
2306,ddmhbiik-1,s01A,5
2321,odlhadmo-1,s01A,3
2325,jcpibfjn-1,s01A,1
2333,bjoacfbj-1,s01A,5
2336,jcphogfg-1,s01A,1
2346,bjnpebmm-1,s01A,5
2347,ddmookdf-1,s01A,6
2370,bjoaomam-1,s01A,2
2377,ddncjbad-1,s01A,6
2410,jaihclfe-1,s01A,1
2416,jcjcnbpo-1,s01A,2
2431,cpaleega-1,s01A,6
2440,cpaoahpp-1,s01A,1
2443,cpapgkfk-1,s01A,1
2444,cpapgofi-1,s01A,1
2452,ipclakjp-1,s01A,1
2454,ipdohjll-1,s01A,0
2473,dbhjoicm-1,s01A,0
2482,dbhlfnlf-1,s01A,6
2484,dbibjfgh-1,s01A,6
2488,ipmgegfo-1,s01A,0
2490,ipmhcnnf-1,s01A,2
2501,dbfflpka-1,s01A,5
2506,dbhppofp-1,s01A,1
2510,ipmfmofc-1,s01A,2
2533,ipmelepd-1,s01A,2
2539,dbfgmicb-1,s01A,5
2543,dbflnngd-1,s01A,5
2572,jafpafph-1,s01A,5
2580,dbfnpddd-1,s01A,1
2589,dbnglnkl-1,s01A,5
2594,jagddckp-1,s01A,1
2602,dbnblibb-1,s01A,6
2616,jagcpbhj-1,s01A,2
2617,dbknpapb-1,s01A,6
2629,dbndkafm-1,s01A,5
2642,ipnlhcla-1,s01A,0
2659,dbobjfeb-1,s01A,5
2670,ipobedmk-1,s01A,2
2675,dbnnocnm-1,s01A,6
2678,ipnelnge-1,s01A,4
2683,ipnjbdib-1,s01A,3
2695,ipnojenm-1,s01A,0
2697,ipoaaahe-1,s01A,0
2713,ddnmjbgd-1,s01A,5
2714,idgfmcgl-1,s01A,2
2715,idghbacg-1,s01A,1
2723,idgjdlpd-1,s01A,6
2754,idgibkme-1,s01A,2
2755,idgjbjea-1,s01A,0
2768,idgmgdkd-1,s01A,5
2792,idhbplph-1,s01A,1
2795,idhcbmjj-1,s01A,0
2799,ddoadoja-1,s01A,5
2804,idgmnaog-1,s01A,0
2815,idgaelia-1,s01A,1
2849,jcplmmkk-1,s01A,0
2852,jdafkgko-1,s01A,0
2906,cpacahad-1,s01A,5
2915,ipdnphkn-1,s01A,1
2918,ipdocojd-1,s01A,2
2922,iplkdmif-1,s01A,2
2932,iplfickf-1,s01A,0
2939,dbhbpkko-1,s01A,6
2960,ipkdnpcj-1,s01A,2
2970,ipkfcinj-1,s01A,1
3008,iplnniad-1,s01A,5
3023,jacifdkg-1,s01A,5
3028,jacimmkd-1,s01A,1
3038,dbdopfah-1,s01A,5
3043,dbdpiach-1,s01A,2
3049,dbedobbj-1,s01A,5
3060,dbfdfbcd-1,s01A,5
3068,jaccjbcj-1,s01A,1
3071,jackecei-1,s01A,4
3100,dbeadlec-1,s01A,5
3105,dbeihhcm-1,s01A,5
3123,dbfbdheb-1,s01A,5
3160,jadkfmad-1,s01A,5
3170,jaeejmlj-1,s01A,1
3173,oeegnemb-1,s01A,3
3184,dbklhabm-1,s01A,5
3190,dbklpceb-1,s01A,5
3199,dbmjoemf-1,s01A,6
3214,jadlnhdk-1,s01A,5
3234,dbldcklk-1,s01A,6
3276,jagecplk-1,s01A,5
3284,ipofiice-1,s01A,5
3301,jabclebg-1,s01A,5
3309,dbkpbkjk-1,s01A,6
3314,dblaaipn-1,s01A,6
3315,dblabajc-1,s01A,0
3316,dblemoog-1,s01A,6
3330,jabcdkii-1,s01A,0
3332,jabchome-1,s01A,0
3333,jabgfbke-1,s01A,1
3365,jaacipdn-1,s01A,1
3372,jaaoaeai-1,s01A,2
3375,jabadgal-1,s01A,2
3377,jabafpco-1,s01A,1
3379,jabajkpk-1,s01A,1
3384,dblkihgh-1,s01A,0
3397,jaampcff-1,s01A,5
3415,idcekmch-1,s01A,0
3418,idcfbdom-1,s01A,0
3429,jaalnggb-1,s01A,2
3436,ddlobemo-1,s01A,1
3437,ddlodelc-1,s01A,6
3441,idcjeaae-1,s01A,2
3444,idckgakp-1,s01A,1
3459,idbifgba-1,s01A,6
3485,ddllodpc-1,s01A,6
3490,idblnnol-1,s01A,2
3515,jdaajekf-1,s01A,1
3517,jdablhaa-1,s01A,5
3524,ddinpbig-1,s01A,5
3543,ddikagba-1,s01A,2
3545,ddikibgk-1,s01A,1
3546,ddikjgmn-1,s01A,5
3572,ddjllaol-1,s01A,5
3583,ddjhlopn-1,s01A,6
3601,jckbjmgn-1,s01A,2
3603,jckcblpb-1,s01A,3
3604,jckcegek-1,s01A,1
3615,jckeebei-1,s01A,6
3619,jckfihda-1,s01A,1
3637,copmoggn-1,s01A,6
3654,cpaemamd-1,s01A,6
3668,ipdlfanf-1,s01A,0
3678,ipljdefc-1,s01A,1
3682,dbigcpok-1,s01A,0
3694,dbbppaom-1,s01A,5
3706,ipkjnndd-1,s01A,0
3713,jabphgdh-1,s01A,0
3718,dbcaakdh-1,s01A,5
3720,dbcbepma-1,s01A,5
3730,dbhcdlfp-1,s01A,6
3732,dbhdcmne-1,s01A,5
3743,jabohfno-1,s01A,5
3744,jaboihfi-1,s01A,0
3745,jacadcmk-1,s01A,6
3747,jacbbpea-1,s01A,1
3758,dbebmoeo-1,s01A,6
3783,dbcfmhdc-1,s01A,5
3787,dbehmopb-1,s01A,6
3789,dbeifeij-1,s01A,6
3792,dbeoclji-1,s01A,5
3812,jaeanmjd-1,s01A,1
3817,jaecjeag-1,s01A,2
3825,jafhlahk-1,s01A,0
3834,dbemadmn-1,s01A,5
3835,dbemdnhc-1,s01A,2
3859,jafhahed-1,s01A,0
3861,dbjiofng-1,s01A,6
3868,dbmlbeml-1,s01A,0
3883,dblnmncd-1,s01A,6
3887,dbmbcafk-1,s01A,6
3891,dbmmofhn-1,s01A,6
3900,jabdplpm-1,s01A,0
3910,dbmjbokf-1,s01A,6
3915,jaajhkea-1,s01A,6
3919,jabgcjfk-1,s01A,0
3928,jaahbmdm-1,s01A,0
3929,jaahbnmf-1,s01A,1
3931,jaahogbg-1,s01A,2
3953,jaabldfd-1,s01A,0
3963,dbmdnldk-1,s01A,6
3968,ddkpibim-1,s01A,5
3971,ippcchnf-1,s01A,0
3972,ippcdokb-1,s01A,1
3978,jaaefiai-1,s01A,0
3986,dbmgckmf-1,s01A,5
3988,ddibbhdn-1,s01A,2
3990,ddkhcdaa-1,s01A,2
4003,icpfimik-1,s01A,2
4014,idcbfebe-1,s01A,2
4018,idcbncca-1,s01A,1
4019,idccfcbk-1,s01A,5
4025,idcdlann-1,s01A,5
4030,jaadekfh-1,s01A,2
4037,ddklhaop-1,s01A,5
4041,ddklpifh-1,s01A,3
4069,idchejgb-1,s01A,1
4074,ddkmgohe-1,s01A,5
4100,idbejnol-1,s01A,4
4111,idbopnic-1,s01A,2
4140,ddjpdinh-1,s01A,1
4144,ddlcomol-1,s01A,6
4164,jcmoddel-1,s01A,0
4166,jcmogmca-1,s01A,2
4185,jcnaafoj-1,s01A,1
4186,jcnaephf-1,s01A,0
4190,ddcnfokp-1,s01A,6
4194,ddkcndkm-1,s01A,5
4214,cpaacfhg-1,s01A,5
4215,cpaadffe-1,s01A,5
4216,cpaaeccn-1,s01A,5
4221,ipcngkpp-1,s01A,2
4241,copondeg-1,s01A,5
4248,dbbmifeo-1,s01A,5
4255,dbbncdfh-1,s01A,5
4287,ipjcegga-1,s01A,5
4291,ipjjogki-1,s01A,5
4296,dbbhdinj-1,s01A,5
4297,dbbhdioe-1,s01A,5
4299,dbbjcbmp-1,s01A,5
4320,dbdliegh-1,s01A,5
4322,dbdlkcmi-1,s01A,5
4323,dbdlkomj-1,s01A,5
4326,dbdmbcoj-1,s01A,5
4333,dbdmpcao-1,s01A,5
4338,ipjcklga-1,s01A,5
4341,ipjdedmn-1,s01A,1
4360,ipjfjeoa-1,s01A,5
4362,ipjflhpf-1,s01A,2
4379,ipjkeebm-1,s01A,1
4387,dbcjgmdp-1,s01A,1
4399,dbdcbcgh-1,s01A,5
4401,dbdecjlm-1,s01A,2
4402,dbdeeial-1,s01A,5
4406,dbdiojki-1,s01A,5
4423,ipjnhcgi-1,s01A,5
4436,ipkbbcac-1,s01A,0
4438,ipkbhjhf-1,s01A,2
4439,ipkcdaoo-1,s01A,1
4445,ipkpobfi-1,s01A,5
4452,iplfedmk-1,s01A,2
4454,oeeecmem-1,s01A,5
4463,dbdafjmf-1,s01A,5
4467,dbdddlgj-1,s01A,5
4492,iplchonp-1,s01A,2
4499,jableloc-1,s01A,0
4501,jacmcomm-1,s01A,2
4508,dbbpbgae-1,s01A,5
4553,dbcfopnm-1,s01A,2
4566,dbinmjkp-1,s01A,6
4567,dbiobiae-1,s01A,6
4568,dbiopplc-1,s01A,5
4573,dbjhlche-1,s01A,0
4580,jafajhpb-1,s01A,5
4582,jafaknib-1,s01A,1
4624,jaeokbgc-1,s01A,5
4635,jafdpiji-1,s01A,0
4653,dbjbdpdk-1,s01A,5
4670,dbkjhkho-1,s01A,5
4676,dbkkkjpc-1,s01A,5
4680,ipohphmg-1,s01A,2
4686,ipoimmfh-1,s01A,1
4698,ipondedo-1,s01A,2
4711,ippelpcf-1,s01A,5
4723,jaepndcd-1,s01A,5
4728,dbkecanj-1,s01A,0
4735,ipokmopl-1,s01A,5
4739,ipomcfjk-1,s01A,5
4761,oeefjgdi-1,s01A,0
4764,ippakbkk-1,s01A,0
4770,ippljnef-1,s01A,4
4783,ippcfdih-1,s01A,5
4796,ddifggnp-1,s01A,1
4798,icpgfkad-1,s01A,2
4813,ddidioca-1,s01A,5
4836,idbflkbe-1,s01A,0
4855,idbdakpa-1,s01A,0
4857,idbdjlak-1,s01A,4
4862,jcpggomf-1,s01A,0
4865,ddhakdik-1,s01A,6
4872,jcpcjopa-1,s01A,5
4890,jcngdohj-1,s01A,1
4908,ddcmjpgd-1,s01A,2
4911,jcnbichh-1,s01A,0
4919,ipcdmjbf-1,s01A,5
4920,ipcdonie-1,s01A,5
4931,copbocfn-1,s01A,2
4957,ipdcooof-1,s01A,5
4982,dbbkfndo-1,s01A,6
4983,dbbljjhl-1,s01A,6
4989,ipifemlj-1,s01A,5
5002,ipipefoc-1,s01A,0
5005,ipjapmoe-1,s01A,0
5022,conjjpfm-1,s01A,5
5047,ipioeobk-1,s01A,0
5060,ipkdepbd-1,s01A,5
5073,dbdbkgff-1,s01A,5
5083,iphjmfhe-1,s01A,0
5088,ipidomno-1,s01A,0
5100,iphejmnm-1,s01A,5
5102,iphfjgnj-1,s01A,1
5108,iphiaggf-1,s01A,4
5109,iphidfam-1,s01A,5
5114,ipknkacn-1,s01A,1
5116,ipkofoje-1,s01A,5
5123,jadaiemk-1,s01A,0
5138,ipeamfpp-1,s01A,2
5145,iphhbfep-1,s01A,0
5152,jaehgapk-1,s01A,1
5156,ipecmcbn-1,s01A,5
5167,dcddohmh-1,s01A,5
5189,jafejjak-1,s01A,2
5206,ipfcocie-1,s01A,4
5232,jafcndac-1,s01A,4
5255,ippmmmlk-1,s01A,2
5277,ippnbgjk-1,s01A,1
5297,dcapehli-1,s01A,6
5324,dcbengdl-1,s01A,5
5328,idajhfoa-1,s01A,2
5344,icpjpcjj-1,s01A,5
5350,idajiabp-1,s01A,1
5361,dcbgijfh-1,s01A,6
5373,idacjmok-1,s01A,1
5381,dcfeniep-1,s01A,0
5399,ddajpfph-1,s01A,2
5403,jcncebln-1,s01A,5
5415,dcfdhfon-1,s01A,5
5428,oefgambd-1,s01A,3
5430,ddaoakgl-1,s01A,2
5447,copfnjpf-1,s01A,1
5457,ipiimdem-1,s01A,1
5473,ipihbboo-1,s01A,4
5505,conojjmj-1,s01A,5
5510,coocppck-1,s01A,5
5511,coogcjgk-1,s01A,5
5518,cookdbma-1,s01A,2
5519,cookgojj-1,s01A,5
5526,dbpeenjg-1,s01A,0
5528,ipghmkaf-1,s01A,5
5529,ipgialeb-1,s01A,5
5530,ipgikgin-1,s01A,2
5535,ipgjlgfo-1,s01A,6
5543,iphkibpl-1,s01A,3
5580,dcccbglh-1,s01A,5
5608,iphnemfg-1,s01A,0
5610,iphohiln-1,s01A,0
5612,ipholahg-1,s01A,2
5622,dccbeabk-1,s01A,2
5633,ipgmkbbk-1,s01A,1
5649,iphaipdk-1,s01A,4
5676,ipebgcao-1,s01A,2
5679,ipecfdfo-1,s01A,1
5680,ipecgjhk-1,s01A,1
5683,ipedeapc-1,s01A,4
5698,dccenbao-1,s01A,5
5712,dcdbgdco-1,s01A,6
5716,dcddkpkk-1,s01A,0
5724,ipfiglim-1,s01A,2
5726,ipfijdem-1,s01A,1
5727,ipfinbno-1,s01A,5
5750,dccpjoik-1,s01A,5
5752,dcdacdlh-1,s01A,1
5762,ipfjkgek-1,s01A,2
5783,ipfgoabo-1,s01A,2
5785,oeeddkio-1,s01A,2
5802,ipfaopkf-1,s01A,1
5807,dcbokbha-1,s01A,0
5809,dccabfpn-1,s01A,6
5819,dcdinope-1,s01A,5
5823,ipeggaif-1,s01A,2
5829,ipekfioe-1,s01A,2
5831,ipekimjp-1,s01A,0
5834,ipelikdg-1,s01A,3
5862,idainngo-1,s01A,1
5865,dbpiajop-1,s01A,6
5868,dcbgldbd-1,s01A,5
5870,dcbhbmij-1,s01A,5
5878,idadhfdl-1,s01A,5
5904,dcdlegjd-1,s01A,2
5906,dcfkdbfn-1,s01A,6
5928,dcdogopl-1,s01A,5
5934,jcokkpnh-1,s01A,2
5936,jcolcgbf-1,s01A,5
5940,jconaklh-1,s01A,5
5945,jcooebkg-1,s01A,1
5959,jckgmagf-1,s01A,2
5969,jckhpfhc-1,s01A,5
5972,jckiikce-1,s01A,5
5981,jconjmld-1,s01A,5
5982,jconmigg-1,s01A,5
6010,jckkbeib-1,s01A,5
6012,jckknknp-1,s01A,1
6016,jckljgmf-1,s01A,0
6017,jcklnmne-1,s01A,4
6022,jckmffna-1,s01A,3
6025,jckmkfeb-1,s01A,1
6028,jcnklgkk-1,s01A,5
6041,jcnhbnae-1,s01A,5
6065,oefgaimh-1,s01A,3
6066,oefgcjif-1,s01A,2
6078,dalnmpej-1,s01A,1
6090,coonhlda-1,s01A,6
6094,ifedcmdl-1,s01A,5
6099,ifeeajpe-1,s01A,5
6107,dbpbhdko-1,s01A,6
6110,ifdbkagf-1,s01A,2
6116,ipgggcoj-1,s01A,0
6133,ipgiiaka-1,s01A,0
6143,ifdhklgh-1,s01A,6
6147,iphmjpab-1,s01A,2
6151,coogdopl-1,s01A,5
6172,iphbhnie-1,s01A,0
6173,iphblfae-1,s01A,1
6182,ipgcbcfl-1,s01A,5
6194,dcaiical-1,s01A,5
6198,jbakicnd-1,s01A,4
6214,jbakjoih-1,s01A,4
6220,dbpmhbco-1,s01A,5
6261,defkeloi-1,s01A,2
6262,ifdglopd-1,s01A,2
6268,jbeednik-1,s01A,1
6269,dbpkipim-1,s01A,4
6276,ifdcdcol-1,s01A,1
6277,ifdcegob-1,s01A,1
6278,ifdfjehh-1,s01A,1
6287,jbedlmgp-1,s01A,1
6296,idamffpn-1,s01A,0
6302,ifdgefeo-1,s01A,1
6305,dbpidpfa-1,s01A,5
6306,defieicj-1,s01A,5
6314,jbdndofc-1,s01A,2
6321,icpnfdok-1,s01A,5
6322,icpoaaej-1,s01A,1
6327,ifdeakoj-1,s01A,1
6328,japjmfgk-1,s01A,2
6329,jcmcmkmj-1,s01A,0
6332,jcmifecg-1,s01A,2
6342,ifdclnbh-1,s01A,2
6358,jcmmphgj-1,s01A,0
6362,dcjakkii-1,s01A,5
6367,idfhophb-1,s01A,1
6377,jcmeeehb-1,s01A,1
6381,jcmkjhae-1,s01A,4
6388,dcjcanln-1,s01A,5
6393,idfcmplp-1,s01A,4
6396,idfflmhj-1,s01A,2
6398,idfhodgj-1,s01A,2
6401,idfiiald-1,s01A,4
6407,jcmcfmgi-1,s01A,2
6420,idffflkf-1,s01A,2
6421,jclmcimb-1,s01A,1
6432,dalloimj-1,s01A,6
6437,ifcmoghp-1,s01A,2
6440,ifcpjibb-1,s01A,1
6447,damenpnb-1,s01A,5
6454,ifdbfbdn-1,s01A,2
6458,ifefbfnc-1,s01A,2
6462,damgflnn-1,s01A,6
6466,daoochjf-1,s01A,5
6477,ielcfoll-1,s01A,1
6486,ieldmejd-1,s01A,2
6488,ifedmeel-1,s01A,0
6496,daoniiol-1,s01A,5
6503,daopebjg-1,s01A,5
6518,dapppajp-1,s01A,6
6521,dbaamlpp-1,s01A,1
6526,iekoaeog-1,s01A,5
6534,ifeahoke-1,s01A,5
6539,ifeaphkd-1,s01A,1
6546,ifecdikh-1,s01A,5
6558,dbabaeol-1,s01A,1
6576,dbaonkke-1,s01A,5
6584,dbbejfkb-1,s01A,5
6589,dbbfengd-1,s01A,5
6607,ifdjjmmf-1,s01A,1
6615,jbbjakcf-1,s01A,2
6621,jbbjppag-1,s01A,0
6626,jbcheakk-1,s01A,5
6660,dbalpjko-1,s01A,1
6673,dbbaaeng-1,s01A,5
6683,dbbdfdne-1,s01A,5
6688,jbbjhbfm-1,s01A,5
6702,jbcghejp-1,s01A,4
6710,jbcmcoom-1,s01A,1
6755,janhfbdm-1,s01A,5
6766,jaoabgeb-1,s01A,5
6771,jaoafieh-1,s01A,2
6773,jaonflcd-1,s01A,5
6776,jaonlepf-1,s01A,2
6777,jaonlplf-1,s01A,2
6779,jbcdodjk-1,s01A,2
6785,jbcimlba-1,s01A,4
6805,dajoidom-1,s01A,5
6812,dalibkpi-1,s01A,5
6819,dallicng-1,s01A,1
6824,janjfdcd-1,s01A,2
6826,jankfpfn-1,s01A,0
6829,janmfmoe-1,s01A,1
6835,jaomfino-1,s01A,5
6843,jaopggfb-1,s01A,1
6845,jaopkmgj-1,s01A,0
6855,dakncnal-1,s01A,5
6861,dakojdln-1,s01A,2
6863,dakpbpee-1,s01A,5
6870,daldcfmc-1,s01A,6
6876,jaoggcek-1,s01A,5
6878,jaogiaoi-1,s01A,2
6890,jaomchme-1,s01A,2
6898,japabmim-1,s01A,0
6904,jbanphbn-1,s01A,5
6905,jbaoaeni-1,s01A,1
6932,jbalmfbd-1,s01A,0
6963,jbbifbao-1,s01A,5
6964,jbbigckh-1,s01A,5
6965,dakcppah-1,s01A,5
6966,dakfgdnf-1,s01A,5
6974,dakhagap-1,s01A,5
6994,jbbfplpa-1,s01A,1
6998,jbbgdhla-1,s01A,3
7003,jbbglbnc-1,s01A,6
7020,dakmibip-1,s01A,5
7047,dakiihab-1,s01A,5
7049,japbhhog-1,s01A,0
7060,jbdakdam-1,s01A,2
7062,jbebjagf-1,s01A,1
7069,jbdaeafe-1,s01A,5
7072,jbdicemh-1,s01A,1
7074,jbecddbl-1,s01A,0
7094,jbdfkjig-1,s01A,0
7098,jbdindng-1,s01A,5
7105,defiajkd-1,s01A,5
7130,defhoaon-1,s01A,1
7140,jbjhpieo-1,s01A,6
7146,defnhlah-1,s01A,5
7159,jblkjlmo-1,s01A,1
7183,oeenncjh-1,s01A,3
7207,jbknhajb-1,s01A,6
7208,jbknokeh-1,s01A,0
7255,ifcpcddl-1,s01A,1
7266,dannmjjh-1,s01A,2
7272,danoobfk-1,s01A,5
7294,iekophmi-1,s01A,1
7310,ifcnoffo-1,s01A,2
7311,ifcoeboa-1,s01A,3
7331,iekkfehk-1,s01A,0
7337,iekldbbb-1,s01A,2
7339,ieknegnl-1,s01A,0
7347,ielbfnhl-1,s01A,1
7355,ifagdfki-1,s01A,2
7359,dapaggga-1,s01A,5
7361,dapbbdad-1,s01A,5
7367,dapbjlfc-1,s01A,5
7368,dapbkadc-1,s01A,5
7370,dapbohae-1,s01A,5
7377,dapinmeo-1,s01A,2
7387,ifahfalg-1,s01A,1
7420,ifdokblg-1,s01A,5
7425,ifdplkpo-1,s01A,1
7435,dapgnleh-1,s01A,5
7462,ifahpgje-1,s01A,4
7484,jbblngci-1,s01A,6
7495,dagpehng-1,s01A,5
7496,dagpekpl-1,s01A,5
7501,dagpnchk-1,s01A,5
7503,dajnejjh-1,s01A,2
